# stan_version_major = 2
# stan_version_minor = 21
# stan_version_patch = 0
# model = sir_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     max_num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       num_cross_chains = 1 (Default)
#       cross_chain_window = 100 (Default)
#       cross_chain_rhat = 1.05 (Default)
#       cross_chain_ess = 200 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = dense_e
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 1
# data
#   file = sir.data.R
# init = 2 (Default)
# random
#   seed = 5069125
# output
#   file = 1.output.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta,gamma,xi,delta,y.1.1,y.2.1,y.3.1,y.4.1,y.5.1,y.6.1,y.7.1,y.8.1,y.9.1,y.10.1,y.11.1,y.12.1,y.13.1,y.14.1,y.15.1,y.16.1,y.17.1,y.18.1,y.19.1,y.20.1,y.1.2,y.2.2,y.3.2,y.4.2,y.5.2,y.6.2,y.7.2,y.8.2,y.9.2,y.10.2,y.11.2,y.12.2,y.13.2,y.14.2,y.15.2,y.16.2,y.17.2,y.18.2,y.19.2,y.20.2,y.1.3,y.2.3,y.3.3,y.4.3,y.5.3,y.6.3,y.7.3,y.8.3,y.9.3,y.10.3,y.11.3,y.12.3,y.13.3,y.14.3,y.15.3,y.16.3,y.17.3,y.18.3,y.19.3,y.20.3,y.1.4,y.2.4,y.3.4,y.4.4,y.5.4,y.6.4,y.7.4,y.8.4,y.9.4,y.10.4,y.11.4,y.12.4,y.13.4,y.14.4,y.15.4,y.16.4,y.17.4,y.18.4,y.19.4,y.20.4
3833.37,1,0.00390625,2,3,0,83107,1.35865,0.03835,1.47307,1.0755,9864.13,9850.76,9839.18,9829.1,9820.33,9812.69,9806.05,9800.27,9795.23,9790.85,9787.04,9783.73,9780.84,9778.33,9776.14,9774.24,9772.58,9771.14,9769.88,9768.79,108.89,94.9358,82.7121,72.0523,62.7587,54.6581,47.5988,41.4479,36.0893,31.4216,27.3562,23.8157,20.7325,18.0479,15.7105,13.6754,11.9037,10.3613,9.01855,7.84973,26.9781,54.2996,78.1071,98.8476,116.914,132.649,146.353,158.287,168.677,177.725,185.602,192.459,198.429,203.626,208.15,212.088,215.516,218.5,221.097,223.357,156.632,132.454,115.4,100.53,87.5643,76.2629,66.414,57.8323,50.3559,43.8434,38.171,33.231,28.9292,25.1833,21.9218,19.0822,16.61,14.4578,12.5843,10.9533
3833.37,0,14.3855,0,1,1,-3826.75,1.35865,0.03835,1.47307,1.0755,9864.13,9850.76,9839.18,9829.1,9820.33,9812.69,9806.05,9800.27,9795.23,9790.85,9787.04,9783.73,9780.84,9778.33,9776.14,9774.24,9772.58,9771.14,9769.88,9768.79,108.89,94.9358,82.7121,72.0523,62.7587,54.6581,47.5988,41.4479,36.0893,31.4216,27.3562,23.8157,20.7325,18.0479,15.7105,13.6754,11.9037,10.3613,9.01855,7.84973,26.9781,54.2996,78.1071,98.8476,116.914,132.649,146.353,158.287,168.677,177.725,185.602,192.459,198.429,203.626,208.15,212.088,215.516,218.5,221.097,223.357,156.632,132.454,115.4,100.53,87.5643,76.2629,66.414,57.8323,50.3559,43.8434,38.171,33.231,28.9292,25.1833,21.9218,19.0822,16.61,14.4578,12.5843,10.9533
3833.37,0,2.43117,0,1,1,-3831.87,1.35865,0.03835,1.47307,1.0755,9864.13,9850.76,9839.18,9829.1,9820.33,9812.69,9806.05,9800.27,9795.23,9790.85,9787.04,9783.73,9780.84,9778.33,9776.14,9774.24,9772.58,9771.14,9769.88,9768.79,108.89,94.9358,82.7121,72.0523,62.7587,54.6581,47.5988,41.4479,36.0893,31.4216,27.3562,23.8157,20.7325,18.0479,15.7105,13.6754,11.9037,10.3613,9.01855,7.84973,26.9781,54.2996,78.1071,98.8476,116.914,132.649,146.353,158.287,168.677,177.725,185.602,192.459,198.429,203.626,208.15,212.088,215.516,218.5,221.097,223.357,156.632,132.454,115.4,100.53,87.5643,76.2629,66.414,57.8323,50.3559,43.8434,38.171,33.231,28.9292,25.1833,21.9218,19.0822,16.61,14.4578,12.5843,10.9533
3833.37,0,0.239791,0,1,1,-3833.23,1.35865,0.03835,1.47307,1.0755,9864.13,9850.76,9839.18,9829.1,9820.33,9812.69,9806.05,9800.27,9795.23,9790.85,9787.04,9783.73,9780.84,9778.33,9776.14,9774.24,9772.58,9771.14,9769.88,9768.79,108.89,94.9358,82.7121,72.0523,62.7587,54.6581,47.5988,41.4479,36.0893,31.4216,27.3562,23.8157,20.7325,18.0479,15.7105,13.6754,11.9037,10.3613,9.01855,7.84973,26.9781,54.2996,78.1071,98.8476,116.914,132.649,146.353,158.287,168.677,177.725,185.602,192.459,198.429,203.626,208.15,212.088,215.516,218.5,221.097,223.357,156.632,132.454,115.4,100.53,87.5643,76.2629,66.414,57.8323,50.3559,43.8434,38.171,33.231,28.9292,25.1833,21.9218,19.0822,16.61,14.4578,12.5843,10.9533
3833.37,0,0.0186273,0,1,1,-3831.32,1.35865,0.03835,1.47307,1.0755,9864.13,9850.76,9839.18,9829.1,9820.33,9812.69,9806.05,9800.27,9795.23,9790.85,9787.04,9783.73,9780.84,9778.33,9776.14,9774.24,9772.58,9771.14,9769.88,9768.79,108.89,94.9358,82.7121,72.0523,62.7587,54.6581,47.5988,41.4479,36.0893,31.4216,27.3562,23.8157,20.7325,18.0479,15.7105,13.6754,11.9037,10.3613,9.01855,7.84973,26.9781,54.2996,78.1071,98.8476,116.914,132.649,146.353,158.287,168.677,177.725,185.602,192.459,198.429,203.626,208.15,212.088,215.516,218.5,221.097,223.357,156.632,132.454,115.4,100.53,87.5643,76.2629,66.414,57.8323,50.3559,43.8434,38.171,33.231,28.9292,25.1833,21.9218,19.0822,16.61,14.4578,12.5843,10.9533
5437.18,1,0.00130482,1,1,0,-3840.75,1.38591,0.0378534,1.49228,1.04956,9857.43,9842.45,9829.34,9817.81,9807.66,9798.73,9790.88,9783.98,9777.9,9772.56,9767.86,9763.73,9760.09,9756.9,9754.08,9751.61,9749.43,9747.52,9745.83,9744.35,114.744,101.148,89.0903,78.4565,69.0819,60.8195,53.5392,47.1257,41.4768,36.5022,32.1221,28.2659,24.8713,21.8833,19.2535,16.9392,14.9026,13.1104,11.5335,10.1461,27.8269,56.3991,81.5698,103.738,123.259,140.446,155.577,168.895,180.618,190.936,200.015,208.005,215.035,221.221,226.664,231.452,235.665,239.371,242.632,245.5,171.617,146.343,128.898,113.515,99.9534,88.0001,77.4675,68.1885,60.0155,52.8181,46.4805,40.9008,35.9891,31.6657,27.8605,24.5117,21.5647,18.9715,16.6897,14.682
28393.8,1,0.00189104,3,7,0,-7354.42,2.47244,0.0265585,2.29631,0.543292,9401.72,8995.51,8421.82,7650.73,6692.14,5609.59,4511.03,3508.33,2673.98,2026.88,1547.53,1200.95,952.324,773.411,643.415,547.721,476.264,422.133,380.566,348.245,531.712,814.16,1202.22,1704.76,2292.65,2892.64,3403.77,3739.31,3863.68,3796.13,3587.41,3293.46,2960.44,2620.65,2294.11,1991.83,1718.84,1476.42,1263.73,1078.72,66.5714,190.331,375.959,644.506,1015.21,1497.77,2085.21,2752.36,3462.34,4176.99,4865.06,5505.59,6087.24,6605.94,7062.48,7460.45,7804.9,8101.44,8355.71,8573.04,2135.9,3106.11,4619.24,6619.09,9023.64,11571.4,13857.3,15486.7,16247.1,16163.5,15423,14261.6,12887.5,11452.4,10053.7,8747.32,7560.27,6501.74,5570.17,4758.07
28710.6,0.949872,0.00305706,4,15,0,-28431.2,2.62192,0.0271905,2.39233,0.517751,9315.48,8778.38,7988.68,6921.12,5644.98,4326.27,3151.42,2230.09,1570.44,1122.04,823.26,623.878,488.953,395.804,330.068,282.658,247.766,221.612,201.689,186.296,608.735,995.404,1546.02,2253.98,3027.37,3702.66,4127.58,4247.21,4108.28,3801.97,3413.34,3002.16,2603.96,2236.99,1908.83,1620.95,1371.64,1157.62,975.051,820.019,75.7892,226.217,465.304,824.902,1327.65,1971.07,2721.01,3522.7,4321.28,5075.99,5763.4,6373.96,6907.08,7367.2,7761.11,8096.39,8380.6,8620.77,8823.26,8993.68,2598.7,4068.36,6391.72,9477.82,13009.3,16305.4,18617.7,19555.6,19218.9,17990.1,16279.1,14395.3,12532,10793.5,9226.77,7845.47,6645.15,5612.33,4729.79,3979.43
28748.3,1,0.00452822,1,1,0,-28710.1,2.64186,0.0276666,2.38338,0.516731,9308.52,8764.67,7966.25,6889.87,5608.37,4290.57,3122.35,2210.02,1558.64,1116.46,821.895,625.208,491.967,399.864,334.783,287.791,253.172,227.204,207.412,192.118,613.736,1003.29,1556.63,2264.96,3033.18,3696.23,4104.23,4207.01,4054.96,3740.42,3347.89,2936.11,2539.55,2175.67,1851.45,1567.98,1323.23,1113.76,935.577,784.701,77.74,232.044,477.123,845.172,1358.46,2013.2,2773.42,3582.97,4386.4,5143.12,5830.21,6438.68,6968.48,7424.47,7813.76,8144.23,8423.6,8659.04,8857.01,9023.18,2614.36,4092.82,6424.79,9510.6,13019.7,16262.6,18498,19355.9,18954.5,17684.1,15953.2,14066.1,12211.1,10488.2,8941.38,7582.26,6404.89,5394.83,4534.24,3804.63
30048.9,1,0.00820441,3,7,0,-28810.5,3.84731,0.0639516,1.95874,0.578388,9082.75,8473.15,7732.38,6893.16,6018.49,5180.13,4435.33,3813.43,3317.3,2933.34,2641.52,2421.85,2257.14,2133.74,2041.22,1971.74,1919.47,1880.08,1850.36,1827.9,695.573,939.892,1201.53,1446.56,1629.59,1715.25,1693.25,1579.69,1405.94,1205.02,1002.95,816.217,653.02,515.77,403.431,313.26,241.904,186.026,142.605,109.059,221.679,586.958,1066.09,1660.28,2351.92,3104.62,3871.42,4606.89,5276.76,5861.64,6355.52,6761.94,7089.84,7350.49,7555.35,7715,7838.63,7933.89,8007.03,8063.04,2259.19,2975.41,3849.82,4703.02,5383.85,5760.13,5774.33,5460.46,4915.1,4251.09,3563.4,2915.81,2342.53,1856.02,1455.23,1132.01,875.343,673.836,516.956,395.583
